year,institution,patient_status,sex,value,footnote_marker
1873,Kristiansand,Melancholia cum stupore,Md.,2,NA
1873,Kristiansand,Monomania,Kv.,NA,NA
1873,Kristiansand,Monomania,Md.,5,NA
1873,Kristiansand,Paralysis generalis,Kv.,NA,NA
1873,Kristiansand,Paralysis generalis,Md.,NA,NA
1873,Kristiansand,Til observasjon,Kv.,NA,NA
1873,Kristiansand,Til observasjon,Md.,NA,NA
1873,Møllendal,Delirium tremens,Kv.,NA,NA
1873,Møllendal,Delirium tremens,Md.,NA,NA
1873,Møllendal,Dementia,Kv.,4,NA
1873,Møllendal,Dementia,Md.,NA,NA
1873,Møllendal,Epilepsia,Kv.,NA,NA
1873,Møllendal,Epilepsia,Md.,NA,NA
1873,Møllendal,Idiotismus - acquisitus,Kv.,3,NA
1873,Møllendal,Idiotismus - acquisitus,Md.,1,NA
1873,Møllendal,Idiotismus - congenitus,Kv.,NA,NA
1873,Møllendal,Idiotismus - congenitus,Md.,NA,NA
1873,Møllendal,Mania,Kv.,2,NA
1873,Møllendal,Mania,Md.,3,NA
1873,Møllendal,Melancholia,Kv.,10,NA
1873,Møllendal,Melancholia,Md.,3,NA
1873,Møllendal,Melancholia cum stupore,Kv.,NA,NA
1873,Møllendal,Melancholia cum stupore,Md.,NA,NA
1873,Møllendal,Monomania,Kv.,NA,NA
1873,Møllendal,Monomania,Md.,NA,NA
1873,Møllendal,Paralysis generalis,Kv.,NA,NA
1873,Møllendal,Paralysis generalis,Md.,NA,NA
1873,Møllendal,Til observasjon,Kv.,NA,NA
1873,Møllendal,Til observasjon,Md.,NA,NA
1873,Oslo,Delirium tremens,Kv.,NA,NA
1873,Oslo,Delirium tremens,Md.,NA,NA
1873,Oslo,Dementia,Kv.,5,NA
1873,Oslo,Dementia,Md.,NA,NA
1873,Oslo,Epilepsia,Kv.,NA,NA
1873,Oslo,Epilepsia,Md.,NA,NA
1873,Oslo,Idiotismus - acquisitus,Kv.,NA,NA
1873,Oslo,Idiotismus - acquisitus,Md.,NA,NA
1873,Oslo,Idiotismus - congenitus,Kv.,1,NA
1873,Oslo,Idiotismus - congenitus,Md.,NA,NA
1873,Oslo,Mania,Kv.,1,NA
1873,Oslo,Mania,Md.,NA,NA
1873,Oslo,Melancholia,Kv.,2,NA
1873,Oslo,Melancholia,Md.,NA,NA
1873,Oslo,Melancholia cum stupore,Kv.,NA,NA
1873,Oslo,Melancholia cum stupore,Md.,NA,NA
1873,Oslo,Monomania,Kv.,NA,NA
1873,Oslo,Monomania,Md.,NA,NA
1873,Oslo,Paralysis generalis,Kv.,NA,NA
1873,Oslo,Paralysis generalis,Md.,NA,NA
1873,Oslo,Til observasjon,Kv.,NA,NA
1873,Oslo,Til observasjon,Md.,NA,NA
1873,Rosenberg,Delirium tremens,Kv.,NA,NA
1873,Rosenberg,Delirium tremens,Md.,NA,NA
1873,Rosenberg,Dementia,Kv.,4,NA
1873,Rosenberg,Dementia,Md.,9,NA
1873,Rosenberg,Epilepsia,Kv.,NA,NA
1873,Rosenberg,Epilepsia,Md.,NA,NA
1873,Rosenberg,Idiotismus - acquisitus,Kv.,NA,NA
1873,Rosenberg,Idiotismus - acquisitus,Md.,NA,NA
1873,Rosenberg,Idiotismus - congenitus,Kv.,NA,NA
1873,Rosenberg,Idiotismus - congenitus,Md.,NA,NA
1873,Rosenberg,Mania,Kv.,4,NA
1873,Rosenberg,Mania,Md.,11,NA
1873,Rosenberg,Melancholia,Kv.,8,NA
1873,Rosenberg,Melancholia,Md.,8,NA
1873,Rosenberg,Melancholia cum stupore,Kv.,NA,NA
1873,Rosenberg,Melancholia cum stupore,Md.,NA,NA
1873,Rosenberg,Monomania,Kv.,NA,NA
1873,Rosenberg,Monomania,Md.,NA,NA
1873,Rosenberg,Paralysis generalis,Kv.,NA,NA
1873,Rosenberg,Paralysis generalis,Md.,NA,NA
1873,Rosenberg,Til observasjon,Kv.,NA,NA
1873,Rosenberg,Til observasjon,Md.,NA,NA
1873,Rotvoll,Delirium tremens,Kv.,NA,NA
1873,Rotvoll,Delirium tremens,Md.,NA,NA
1873,Rotvoll,Dementia,Kv.,9,NA
1873,Rotvoll,Dementia,Md.,14,NA
1873,Rotvoll,Epilepsia,Kv.,2,NA
1873,Rotvoll,Epilepsia,Md.,2,NA
1873,Rotvoll,Idiotismus - acquisitus,Kv.,NA,NA
1873,Rotvoll,Idiotismus - acquisitus,Md.,NA,NA
1873,Rotvoll,Idiotismus - congenitus,Kv.,NA,NA
1873,Rotvoll,Idiotismus - congenitus,Md.,NA,NA
1873,Rotvoll,Mania,Kv.,11,NA
1873,Rotvoll,Mania,Md.,18,NA
1873,Rotvoll,Melancholia,Kv.,22,NA
1873,Rotvoll,Melancholia,Md.,32,NA
1873,Rotvoll,Melancholia cum stupore,Kv.,2,NA
1873,Rotvoll,Melancholia cum stupore,Md.,3,NA
1873,Rotvoll,Monomania,Kv.,2,NA
1873,Rotvoll,Monomania,Md.,4,NA
1873,Rotvoll,Paralysis generalis,Kv.,NA,NA
1873,Rotvoll,Paralysis generalis,Md.,3,NA
1873,Rotvoll,Til observasjon,Kv.,NA,NA
1873,Rotvoll,Til observasjon,Md.,1,NA
1873,Stavanger,Delirium tremens,Kv.,NA,NA
1873,Stavanger,Delirium tremens,Md.,NA,NA
1873,Stavanger,Dementia,Kv.,NA,NA
1873,Stavanger,Dementia,Md.,NA,NA
1873,Stavanger,Epilepsia,Kv.,NA,NA
1873,Stavanger,Epilepsia,Md.,1,NA
1873,Stavanger,Idiotismus - acquisitus,Kv.,NA,NA
1873,Stavanger,Idiotismus - acquisitus,Md.,NA,NA
1873,Stavanger,Idiotismus - congenitus,Kv.,NA,NA
1873,Stavanger,Idiotismus - congenitus,Md.,1,NA
1873,Stavanger,Mania,Kv.,2,NA
1873,Stavanger,Mania,Md.,NA,NA
1873,Stavanger,Melancholia,Kv.,NA,NA
1873,Stavanger,Melancholia,Md.,NA,NA
1873,Stavanger,Melancholia cum stupore,Kv.,NA,NA
1873,Stavanger,Melancholia cum stupore,Md.,NA,NA
1873,Stavanger,Monomania,Kv.,NA,NA
1873,Stavanger,Monomania,Md.,NA,NA
1873,Stavanger,Paralysis generalis,Kv.,NA,NA
1873,Stavanger,Paralysis generalis,Md.,NA,NA
1873,Stavanger,Til observasjon,Kv.,NA,NA
1873,Stavanger,Til observasjon,Md.,NA,NA
1873,Trondhjem,Delirium tremens,Kv.,NA,NA
1873,Trondhjem,Delirium tremens,Md.,NA,NA
1873,Trondhjem,Dementia,Kv.,4,NA
1873,Trondhjem,Dementia,Md.,NA,NA
1873,Trondhjem,Epilepsia,Kv.,NA,NA
1873,Trondhjem,Epilepsia,Md.,NA,NA
1873,Trondhjem,Idiotismus - acquisitus,Kv.,1,NA
1873,Trondhjem,Idiotismus - acquisitus,Md.,1,NA
1873,Trondhjem,Idiotismus - congenitus,Kv.,NA,NA
1873,Trondhjem,Idiotismus - congenitus,Md.,NA,NA
1873,Trondhjem,Mania,Kv.,1,NA
1873,Trondhjem,Mania,Md.,1,NA
1873,Trondhjem,Melancholia,Kv.,9,NA
1873,Trondhjem,Melancholia,Md.,2,NA
1873,Trondhjem,Melancholia cum stupore,Kv.,NA,NA
1873,Trondhjem,Melancholia cum stupore,Md.,NA,NA
1873,Trondhjem,Monomania,Kv.,NA,NA
1873,Trondhjem,Monomania,Md.,NA,NA
1873,Trondhjem,Paralysis generalis,Kv.,NA,NA
1873,Trondhjem,Paralysis generalis,Md.,NA,NA
1873,Trondhjem,Til observasjon,Kv.,NA,NA
1873,Trondhjem,Til observasjon,Md.,NA,NA
1874,Bergen,Delirium tremens,Kv.,NA,NA
1874,Bergen,Delirium tremens,Md.,3,NA
1874,Bergen,Dementia,Kv.,4,NA
1874,Bergen,Dementia,Md.,8,NA
1874,Bergen,Epilepsia,Kv.,NA,NA
1874,Bergen,Epilepsia,Md.,NA,NA
1874,Bergen,Hemiplegia,Kv.,NA,NA
1874,Bergen,Hemiplegia,Md.,NA,NA
1874,Bergen,Hypochondria,Kv.,NA,NA
1874,Bergen,Hypochondria,Md.,NA,NA
1874,Bergen,Idiotismus - acquisitus,Kv.,NA,NA
1874,Bergen,Idiotismus - acquisitus,Md.,NA,NA
